127.0.0.1, 2012-04-10 23:27:02, GET, /first/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000333
127.0.0.1, 2012-04-10 23:27:02, GET, /first/static/images/shadow.png, HTTP/1.1, 200, 0.000399
127.0.0.1, 2012-04-10 23:27:03, GET, /first/static/favicon.ico, HTTP/1.1, 200, 0.000404
127.0.0.1, 2012-04-10 23:27:15, GET, /admin/default/peek/first/controllers/default.py, HTTP/1.1, 200, 0.102227
127.0.0.1, 2012-04-10 23:27:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2012-04-10 23:27:18, GET, /admin/default/edit/first/controllers/default.py, HTTP/1.1, 200, 0.107264
127.0.0.1, 2012-04-10 23:27:18, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000349
127.0.0.1, 2012-04-10 23:27:18, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.013281
127.0.0.1, 2012-04-10 23:27:18, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.019592
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.001037
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000664
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000830
127.0.0.1, 2012-04-10 23:27:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000442
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000355
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000389
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000405
127.0.0.1, 2012-04-10 23:27:19, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000325
